detectedActivity,longitude,latitude,geoHash,locationAccuracy,time,minuteOfDay,weekday,monthday,detectedActivityConfidence,journey
7,12.999533984677338,55.60892380754954,1242213299,-1,1548697787003,484,0,-1,100,8000080002
1,12.994701624099537,55.60037209758746,1242212555,-1,1548697865232,1155,0,-1,100,8010180100
1,12.994767030814936,55.60036891187326,1242212555,-1,1548697865234,653,0,-1,100,8010180100
1,12.994763236706701,55.60033444207313,1242212555,-1,1548697865235,364,0,-1,100,8010180100
6,12.994760803696254,55.60042986938107,1242212555,-1,1548697865235,519,0,-1,100,8010180100
4,12.994732482660467,55.60033846743461,1242212555,-1,1548697865236,748,0,-1,100,8010180100
0,12.994780732832462,55.60041307017349,1242212555,-1,1548697865237,1193,0,-1,100,8010180100
0,12.99474445627966,55.60039939765806,1242212555,-1,1548697865238,182,0,-1,100,8010180100
6,12.99476004046757,55.60031400059136,1242212555,-1,1548697865239,983,0,-1,100,8010180100
1,12.994793851154334,55.60033132337484,1242212555,-1,1548697865240,183,0,-1,100,8010180100
7,12.994736467388016,55.600467174232676,1242212555,-1,1548697865241,913,0,-1,100,8010180100
7,12.994749023758184,55.60042705653909,1242212555,-1,1548697865242,1094,0,-1,100,8010180100
2,12.99471145077055,55.6004623555027,1242212555,-1,1548697865243,457,0,-1,100,8010180100
0,12.994645408731996,55.600419373611864,1242212555,-1,1548697865244,730,0,-1,100,8010180100
2,12.994742488412308,55.600320239330635,1242212555,-1,1548697865245,382,0,-1,100,8010180100
5,12.99473240691372,55.60039426538096,1242212555,-1,1548697865247,1038,0,-1,100,8010180100
4,12.994711447394097,55.600415577678,1242212555,-1,1548697865248,455,0,-1,100,8010180100
4,12.994775289604302,55.6004859176086,1242212555,-1,1548697865249,1260,0,-1,100,8010180100
6,12.99478851576149,55.600351313465005,1242212555,-1,1548697865250,1329,0,-1,100,8010180100
7,12.994763003696901,55.60045086407484,1242212555,-1,1548697865251,793,0,-1,100,8010180100
3,12.994811786290708,55.60043589780996,1242212555,-1,1548697865252,479,0,-1,100,8010180100
4,12.994733947373103,55.600375245847246,1242212555,-1,1548697865253,1249,0,-1,100,8010180100
2,12.994703850922336,55.60035783298263,1242212555,-1,1548697865254,944,0,-1,100,8010180100
0,12.994747234886274,55.60038828313297,1242212555,-1,1548697865255,748,0,-1,100,8010180100
5,12.99469286920123,55.60032146001077,1242212555,-1,1548697865256,1222,0,-1,100,8010180100
6,12.99469001769476,55.600323034165925,1242212555,-1,1548697865257,437,0,-1,100,8010180100
7,12.994714006670335,55.60037319714143,1242212555,-1,1548697865258,1017,0,-1,100,8010180100
0,12.994711968712402,55.60037482022311,1242212555,-1,1548697865259,680,0,-1,100,8010180100
5,12.994775252505974,55.60042659533538,1242212555,-1,1548697865260,1377,0,-1,100,8010180100
0,12.994731452779746,55.60041083083129,1242212555,-1,1548697865262,845,0,-1,100,8010180100
4,12.99474029204318,55.60034775179986,1242212555,-1,1548697865263,205,0,-1,100,8010180100
3,12.994697865185662,55.60037690386114,1242212555,-1,1548697865264,11,0,-1,100,8010180100
6,12.994702302919691,55.600417794158176,1242212555,-1,1548697865265,395,0,-1,100,8010180100
5,12.994749473605562,55.60046572988248,1242212555,-1,1548697865266,1106,0,-1,100,8010180100
0,12.994730691343271,55.60039519273306,1242212555,-1,1548697865267,1166,0,-1,100,8010180100
5,12.994729076417332,55.600457553450546,1242212555,-1,1548697865268,337,0,-1,100,8010180100
2,12.994780121934573,55.600435813067186,1242212555,-1,1548697865269,1046,0,-1,100,8010180100
4,12.99474540596695,55.600320524301395,1242212555,-1,1548697865270,544,0,-1,100,8010180100
2,12.994730319968191,55.600429806925156,1242212555,-1,1548697865271,63,0,-1,100,8010180100
7,12.994719751652823,55.60041159792483,1242212555,-1,1548697865272,264,0,-1,100,8010180100
7,12.994792441427727,55.600449893066134,1242212555,-1,1548697865272,1300,0,-1,100,8010180100
0,12.999363600018533,55.60250661224149,1242213175,-1,1548697871376,570,0,-1,100,8010080101
1,12.999333220821542,55.60253320083104,1242213175,-1,1548697871377,1053,0,-1,100,8010080101
5,12.999362251562568,55.60254956514009,1242213175,-1,1548697871378,1211,0,-1,100,8010080101
3,12.999399090101306,55.60254940347987,1242213175,-1,1548697871379,553,0,-1,100,8010080101
7,12.999435881153007,55.602546149193955,1242213175,-1,1548697871380,536,0,-1,100,8010080101
6,12.999340007879859,55.60257550575841,1242213175,-1,1548697871381,569,0,-1,100,8010080101
3,12.999407534602355,55.60251119482104,1242213175,-1,1548697871382,1368,0,-1,100,8010080101
5,12.9993147948867,55.60249073609182,1242213175,-1,1548697871383,1344,0,-1,100,8010080101
7,12.99935817397992,55.60258210252965,1242213175,-1,1548697871384,927,0,-1,100,8010080101
1,12.999290654756912,55.60258440250581,1242213175,-1,1548697871385,944,0,-1,100,8010080101
0,12.99938327697553,55.602621021485305,1242213175,-1,1548697871387,1278,0,-1,100,8010080101
4,12.999350971381087,55.602554071623906,1242213175,-1,1548697871388,957,0,-1,100,8010080101
1,12.999284201693307,55.60249081030887,1242213175,-1,1548697871389,587,0,-1,100,8010080101
4,12.999373507431212,55.60251297392891,1242213175,-1,1548697871390,1347,0,-1,100,8010080101
7,12.999252768118264,55.602535599511626,1242213175,-1,1548697871391,70,0,-1,100,8010080101
0,12.999306513836057,55.60249574770131,1242213175,-1,1548697871392,13,0,-1,100,8010080101
0,12.999344959636023,55.60255732127442,1242213175,-1,1548697871393,940,0,-1,100,8010080101
1,12.999335405018252,55.60250297396595,1242213175,-1,1548697871394,749,0,-1,100,8010080101
7,12.999328246990885,55.60255784800752,1242213175,-1,1548697871395,59,0,-1,100,8010080101
4,12.99936253787133,55.60257991541743,1242213175,-1,1548697871396,1106,0,-1,100,8010080101
2,12.99936712866443,55.60253327043938,1242213175,-1,1548697871397,1156,0,-1,100,8010080101
5,12.999343903615737,55.60261258208293,1242213175,-1,1548697871398,542,0,-1,100,8010080101
1,12.999363634205194,55.60256748140519,1242213175,-1,1548697871399,388,0,-1,100,8010080101
2,12.999416623085462,55.60253683136829,1242213175,-1,1548697871400,742,0,-1,100,8010080101
7,12.99937988802053,55.602601590720916,1242213175,-1,1548697871401,423,0,-1,100,8010080101
5,12.999399940333767,55.60248722532586,1242213175,-1,1548697871402,1149,0,-1,100,8010080101
0,12.99934162396504,55.602612541722394,1242213175,-1,1548697871403,1186,0,-1,100,8010080101
0,12.99934732053347,55.60255672401908,1242213175,-1,1548697871404,1105,0,-1,100,8010080101
3,12.999395595733024,55.60256754609621,1242213175,-1,1548697871405,275,0,-1,100,8010080101
7,12.99937039072087,55.60246007741074,1242213175,-1,1548697871406,1198,0,-1,100,8010080101
6,12.999316446480826,55.602545377489825,1242213175,-1,1548697871408,935,0,-1,100,8010080101
7,12.999361655596825,55.602600449732265,1242213175,-1,1548697871408,1222,0,-1,100,8010080101
0,12.999425209255334,55.60256384199894,1242213175,-1,1548697871409,480,0,-1,100,8010080101
4,12.99932844247543,55.60251478757529,1242213175,-1,1548697871411,844,0,-1,100,8010080101
3,12.99936841714417,55.60259764041815,1242213175,-1,1548697871412,247,0,-1,100,8010080101
4,12.999325505230155,55.602548425820466,1242213175,-1,1548697871412,1300,0,-1,100,8010080101
3,12.99933587818424,55.60256473963254,1242213175,-1,1548697871413,1243,0,-1,100,8010080101
2,12.999399176277098,55.602596781392656,1242213175,-1,1548697871414,1209,0,-1,100,8010080101
7,12.999342927454045,55.60252059935086,1242213175,-1,1548697871415,226,0,-1,100,8010080101
6,12.999360989491851,55.602505472917194,1242213175,-1,1548697871416,745,0,-1,100,8010080101
